alert_id,sensor_node_id,social_node_id,incident_type,sensor_location,timestamp,sequence_frame,temperature_celsius,smoke_density_ppm,co2_level_ppm,humidity_percentage,crowd_density,traffic_density,visibility_score,fire_area_ratio,network_latency_ms,propagation_delay_sec,routing_path_length,node_influence_score,coverage_percentage,alert_reliability_score,social_alerts_forwarded,response_time_sec,emergency_severity,alert_priority,fire_detected,smoke_detected,sensor_confidence_score,mobile_alerts_sent,citizen_reports_received,target_label
ALERT_000257,FIRE_NODE_0135,USER_NODE_04265,kitchen_fire,parking_area,2026-05-14 12:23:53.298300,7,138.03,116.58,2692.62,31.5,0.17,0.66,0.924,0.3676,577.51,5.04,10,0.447,46.98,0.878,1170,563.4,critical,urgent,1,1,0.892,11420,469,2
ALERT_000258,FIRE_NODE_0252,USER_NODE_03280,urban_fire,industrial_area,2026-05-14 12:23:56.298300,3,58.44,477.23,3022.92,31.21,0.835,0.817,0.601,0.2459,219.16,7.25,8,0.387,64.79,0.896,708,396.61,moderate,high,1,1,0.72,14773,365,1
ALERT_000259,FIRE_NODE_0228,USER_NODE_01439,warehouse_fire,shopping_mall,2026-05-14 12:23:59.298300,12,114.17,283.59,1289.98,58.77,0.051,0.425,0.201,0.5722,454.49,14.65,12,0.527,83.89,0.978,266,136.17,critical,urgent,1,1,0.957,9061,277,2
ALERT_000260,FIRE_NODE_0149,USER_NODE_04915,warehouse_fire,industrial_area,2026-05-14 12:24:02.298300,6,208.5,1106.39,3395.82,45.94,0.409,0.755,0.528,0.4419,354.2,44.16,13,0.833,48.79,0.942,1481,326.48,critical,urgent,1,1,0.945,8385,114,2
ALERT_000261,FIRE_NODE_0063,USER_NODE_03293,warehouse_fire,industrial_area,2026-05-14 12:24:05.298300,8,120.48,504.53,4626.27,21.33,0.846,0.489,0.513,0.204,466.97,20.19,13,0.087,56.32,0.702,2024,587.12,moderate,high,1,1,0.98,480,184,1
ALERT_000262,FIRE_NODE_0284,USER_NODE_09377,forest_fire,parking_area,2026-05-14 12:24:08.298300,18,114.15,895.78,2121.55,48.62,0.807,0.947,0.41,0.5102,227.42,59.43,3,0.074,76.21,0.891,2507,414.39,critical,urgent,1,1,0.735,14537,44,2
ALERT_000263,FIRE_NODE_0034,USER_NODE_05068,building_fire,parking_area,2026-05-14 12:24:11.298300,17,209.24,282.93,3340.11,19.47,0.314,0.551,0.425,0.1083,153.33,25.67,7,0.769,93.88,0.724,1678,238.9,moderate,high,1,1,0.729,13539,294,1
ALERT_000264,FIRE_NODE_0038,USER_NODE_02054,forest_fire,commercial_complex,2026-05-14 12:24:14.298300,15,47.9,821.12,3250.78,15.6,0.241,0.033,0.801,0.6337,125.66,14.66,8,0.875,95.59,0.822,2786,35.12,critical,urgent,1,1,0.711,8526,176,2
ALERT_000265,FIRE_NODE_0066,USER_NODE_09033,kitchen_fire,industrial_area,2026-05-14 12:24:17.298300,5,145.44,520.04,726.07,42.91,0.021,0.789,0.326,0.031,478.91,24.46,7,0.975,72.65,0.78,2060,427.12,low,medium,1,1,0.779,14971,444,0
ALERT_000266,FIRE_NODE_0029,USER_NODE_02035,industrial_fire,industrial_area,2026-05-14 12:24:20.298300,10,203.24,499.69,3019.42,8.29,0.432,0.834,0.775,0.1497,196.34,49.22,3,0.934,45.72,0.831,664,205.79,moderate,high,1,1,0.952,5336,478,1
ALERT_000267,FIRE_NODE_0364,USER_NODE_03695,forest_fire,forest_region,2026-05-14 12:24:23.298300,3,59.62,316.46,3910.86,8.33,0.498,0.448,0.351,0.2595,433.35,10.52,5,0.593,88.33,0.92,805,96.57,critical,urgent,1,1,0.743,10454,489,2
ALERT_000268,FIRE_NODE_0283,USER_NODE_04497,electrical_fire,forest_region,2026-05-14 12:24:26.298300,20,91.93,484.4,2397.2,49.18,0.066,0.044,0.403,0.4547,170.88,38.85,9,0.297,93.17,0.96,383,181.89,critical,urgent,1,1,0.767,8284,328,2
ALERT_000269,FIRE_NODE_0087,USER_NODE_09697,industrial_fire,industrial_area,2026-05-14 12:24:29.298300,6,116.98,349.4,3558.49,58.69,0.676,0.826,0.407,0.1058,595.6,22.27,11,0.688,56.24,0.724,2558,595.59,moderate,high,1,1,0.745,11856,461,1
ALERT_000270,FIRE_NODE_0310,USER_NODE_05532,warehouse_fire,residential_building,2026-05-14 12:24:32.298300,1,217.97,1174.55,4092.8,47.86,0.582,0.867,0.31,0.3067,503.12,25.26,2,0.456,59.82,0.864,187,511.09,critical,urgent,1,1,0.758,10559,394,2
ALERT_000271,FIRE_NODE_0296,USER_NODE_04337,kitchen_fire,warehouse_zone,2026-05-14 12:24:35.298300,19,208.53,851.78,4222.4,41.15,0.782,0.026,0.787,0.0309,714.13,59.53,7,0.329,52.62,0.922,2532,155.55,low,medium,1,1,0.951,10519,15,0
ALERT_000272,FIRE_NODE_0255,USER_NODE_08939,forest_fire,forest_region,2026-05-14 12:24:38.298300,16,63.0,221.07,4908.27,48.8,0.848,0.331,0.659,0.3883,490.46,41.27,4,0.597,65.74,0.78,2806,462.31,critical,urgent,1,1,0.766,6703,152,2
ALERT_000273,FIRE_NODE_0233,USER_NODE_01196,kitchen_fire,residential_building,2026-05-14 12:24:41.298300,6,166.16,341.33,3351.45,53.56,0.227,0.069,0.168,0.3959,682.57,3.65,8,0.747,60.48,0.839,1703,557.67,critical,urgent,1,1,0.796,7983,237,2
ALERT_000274,FIRE_NODE_0105,USER_NODE_05574,industrial_fire,industrial_area,2026-05-14 12:24:44.298300,11,126.43,95.32,959.03,21.81,0.038,0.635,0.434,0.3586,156.22,18.46,14,0.681,97.92,0.715,2943,534.78,critical,urgent,1,0,0.867,5281,375,2
ALERT_000275,FIRE_NODE_0441,USER_NODE_05659,building_fire,industrial_area,2026-05-14 12:24:47.298300,12,143.69,640.31,905.33,10.84,0.605,0.348,0.876,0.2673,131.76,43.17,9,0.329,71.53,0.902,2301,540.66,critical,urgent,1,1,0.93,1789,163,2
ALERT_000276,FIRE_NODE_0124,USER_NODE_07643,urban_fire,forest_region,2026-05-14 12:24:50.298300,15,163.36,841.19,4762.07,24.23,0.011,0.279,0.246,0.4319,514.3,36.01,4,0.065,83.73,0.794,578,400.71,critical,urgent,1,1,0.861,1636,25,2
ALERT_000277,FIRE_NODE_0149,USER_NODE_06294,warehouse_fire,metro_station,2026-05-14 12:24:53.298300,8,104.98,230.73,1015.44,59.05,0.919,0.653,0.143,0.2643,588.57,47.01,14,0.162,40.0,0.907,655,217.17,critical,urgent,1,1,0.774,13378,167,2
ALERT_000278,FIRE_NODE_0479,USER_NODE_09465,kitchen_fire,shopping_mall,2026-05-14 12:24:56.298300,7,47.26,685.14,4345.06,67.25,0.57,0.519,0.127,0.359,316.38,36.82,13,0.419,54.42,0.728,653,192.38,critical,urgent,1,1,0.728,8213,263,2
ALERT_000279,FIRE_NODE_0240,USER_NODE_08172,forest_fire,parking_area,2026-05-14 12:24:59.298300,1,75.96,1185.82,2554.06,39.57,0.875,0.996,0.574,0.529,275.01,19.04,2,0.433,80.35,0.898,1611,192.57,critical,urgent,1,1,0.739,8331,234,2
ALERT_000280,FIRE_NODE_0495,USER_NODE_03945,electrical_fire,shopping_mall,2026-05-14 12:25:02.298300,2,155.67,223.72,3145.37,50.07,0.704,0.756,0.836,0.3275,589.59,37.53,1,0.227,41.54,0.783,1153,268.61,critical,urgent,1,1,0.879,8158,305,2
ALERT_000281,FIRE_NODE_0452,USER_NODE_07711,forest_fire,residential_building,2026-05-14 12:25:05.298300,4,193.74,299.8,1152.42,67.63,0.117,0.484,0.577,0.3542,87.11,4.36,7,0.15,75.14,0.858,549,144.08,critical,urgent,1,1,0.885,14508,135,2
ALERT_000282,FIRE_NODE_0373,USER_NODE_05993,warehouse_fire,metro_station,2026-05-14 12:25:08.298300,12,188.51,126.57,2791.77,49.81,0.26,0.315,0.602,0.5842,651.74,35.4,1,0.744,61.89,0.886,1641,282.38,critical,urgent,1,1,0.755,888,291,2
ALERT_000283,FIRE_NODE_0288,USER_NODE_03190,forest_fire,forest_region,2026-05-14 12:25:11.298300,3,167.8,703.24,2177.93,64.24,0.031,0.323,0.101,0.4994,567.64,20.55,7,0.692,63.76,0.919,2066,275.24,critical,urgent,1,1,0.82,7428,391,2
ALERT_000284,FIRE_NODE_0282,USER_NODE_04583,warehouse_fire,commercial_complex,2026-05-14 12:25:14.298300,5,208.58,360.98,1129.97,43.0,0.97,0.384,0.106,0.2239,414.63,10.55,2,0.675,99.86,0.831,1614,216.06,moderate,high,1,1,0.816,6164,406,1
ALERT_000285,FIRE_NODE_0174,USER_NODE_09140,forest_fire,industrial_area,2026-05-14 12:25:17.298300,7,65.15,1069.27,2425.23,30.17,0.663,0.448,0.633,0.0446,654.7,56.49,10,0.666,97.27,0.744,2086,289.06,low,medium,1,1,0.875,6626,256,0
ALERT_000286,FIRE_NODE_0021,USER_NODE_00743,urban_fire,industrial_area,2026-05-14 12:25:20.298300,11,146.8,529.64,2087.57,13.24,0.398,0.171,0.711,0.1397,65.68,33.59,13,0.615,92.31,0.867,1941,210.56,moderate,high,1,1,0.933,8558,233,1
ALERT_000287,FIRE_NODE_0077,USER_NODE_09933,industrial_fire,industrial_area,2026-05-14 12:25:23.298300,11,139.55,168.79,3089.74,64.02,0.402,0.303,0.179,0.1027,357.56,36.15,15,0.127,96.37,0.919,2512,354.04,moderate,high,1,1,0.94,5268,83,1
ALERT_000288,FIRE_NODE_0202,USER_NODE_04903,industrial_fire,shopping_mall,2026-05-14 12:25:26.298300,17,59.03,614.06,3372.41,58.86,0.786,0.284,0.897,0.0852,702.6,58.29,14,0.218,83.32,0.712,2088,246.23,moderate,high,1,1,0.85,8771,250,1
ALERT_000289,FIRE_NODE_0363,USER_NODE_09223,forest_fire,parking_area,2026-05-14 12:25:29.298300,1,146.61,1128.25,3557.9,36.28,0.812,0.951,0.07,0.6387,87.18,49.05,6,0.316,47.93,0.828,1357,388.15,critical,urgent,1,1,0.81,11089,56,2
ALERT_000290,FIRE_NODE_0214,USER_NODE_09564,forest_fire,residential_building,2026-05-14 12:25:32.298300,20,54.55,751.4,4570.57,29.91,0.224,0.448,0.094,0.5342,664.55,35.69,8,0.385,87.99,0.861,1088,496.43,critical,urgent,1,1,0.883,10791,400,2
ALERT_000291,FIRE_NODE_0498,USER_NODE_09478,industrial_fire,warehouse_zone,2026-05-14 12:25:35.298300,2,182.27,750.39,2422.22,67.27,0.546,0.609,0.248,0.4085,465.85,11.91,10,0.107,76.26,0.921,1968,316.42,critical,urgent,1,1,0.766,2843,268,2
ALERT_000292,FIRE_NODE_0323,USER_NODE_06230,electrical_fire,warehouse_zone,2026-05-14 12:25:38.298300,2,161.64,169.72,2544.07,15.62,0.193,0.21,0.398,0.038,330.28,31.19,10,0.509,62.97,0.943,2870,91.47,low,medium,1,1,0.847,1850,97,0
ALERT_000293,FIRE_NODE_0010,USER_NODE_07226,forest_fire,metro_station,2026-05-14 12:25:41.298300,5,55.86,159.69,3125.01,41.79,0.879,0.562,0.914,0.0364,96.45,3.6,7,0.226,72.48,0.887,2829,32.12,low,medium,1,1,0.974,3390,210,0
ALERT_000294,FIRE_NODE_0257,USER_NODE_07727,warehouse_fire,residential_building,2026-05-14 12:25:44.298300,5,192.38,412.21,939.63,16.04,0.136,0.132,0.517,0.1636,299.35,59.38,9,0.7,96.94,0.741,850,232.37,moderate,high,1,1,0.861,9239,166,1
ALERT_000295,FIRE_NODE_0340,USER_NODE_07838,industrial_fire,metro_station,2026-05-14 12:25:47.298300,11,58.43,84.69,3549.91,46.72,0.417,0.495,0.424,0.0205,281.59,11.45,3,0.144,97.4,0.874,1883,438.55,low,medium,0,0,0.791,14994,272,0
ALERT_000296,FIRE_NODE_0176,USER_NODE_08951,forest_fire,forest_region,2026-05-14 12:25:50.298300,20,113.8,345.35,1026.65,16.64,0.8,0.681,0.542,0.3114,739.5,5.29,8,0.317,61.0,0.927,788,595.55,critical,urgent,1,1,0.77,4088,142,2
ALERT_000297,FIRE_NODE_0286,USER_NODE_04891,electrical_fire,forest_region,2026-05-14 12:25:53.298300,10,198.0,1010.3,1588.49,30.96,0.416,0.978,0.213,0.5205,280.67,44.12,12,0.449,74.7,0.941,850,483.48,critical,urgent,1,1,0.951,11358,360,2
ALERT_000298,FIRE_NODE_0251,USER_NODE_05195,building_fire,shopping_mall,2026-05-14 12:25:56.298300,18,55.43,855.1,1215.94,32.03,0.553,0.409,0.518,0.6478,125.47,40.85,15,0.426,47.98,0.746,2956,569.82,critical,urgent,1,1,0.955,4530,147,2
ALERT_000299,FIRE_NODE_0063,USER_NODE_09396,kitchen_fire,metro_station,2026-05-14 12:25:59.298300,13,203.73,1190.52,1516.59,28.1,0.673,0.489,0.427,0.2358,483.15,34.96,14,0.203,68.3,0.861,1414,344.32,moderate,high,1,1,0.761,12715,411,1
ALERT_000300,FIRE_NODE_0075,USER_NODE_04759,urban_fire,forest_region,2026-05-14 12:26:02.298300,3,174.9,108.22,2161.26,55.71,0.568,0.269,0.675,0.371,641.07,44.37,6,0.63,69.29,0.739,1812,160.49,critical,urgent,1,1,0.822,10797,131,2
ALERT_000301,FIRE_NODE_0383,USER_NODE_07850,electrical_fire,warehouse_zone,2026-05-14 12:26:05.298300,18,149.88,655.35,1868.01,5.42,0.501,0.293,0.711,0.0204,476.17,56.55,5,0.216,68.3,0.727,2303,377.28,low,medium,0,1,0.86,11456,139,0
ALERT_000302,FIRE_NODE_0071,USER_NODE_01790,industrial_fire,warehouse_zone,2026-05-14 12:26:08.298300,8,116.29,663.94,4544.93,17.76,0.032,0.863,0.569,0.5795,485.62,48.8,1,0.458,84.99,0.965,2744,345.41,critical,urgent,1,1,0.752,14880,271,2
ALERT_000303,FIRE_NODE_0116,USER_NODE_03815,urban_fire,commercial_complex,2026-05-14 12:26:11.298300,14,92.04,302.48,1686.17,24.92,0.56,0.592,0.434,0.4019,83.63,6.18,6,0.213,71.08,0.762,2939,173.55,critical,urgent,1,1,0.816,7789,51,2
ALERT_000304,FIRE_NODE_0349,USER_NODE_02253,urban_fire,industrial_area,2026-05-14 12:26:14.298300,14,187.08,95.53,3457.27,48.48,0.801,0.933,0.068,0.1042,711.21,28.05,11,0.586,79.78,0.897,1949,559.39,moderate,high,1,0,0.989,7872,333,1
ALERT_000305,FIRE_NODE_0103,USER_NODE_04707,forest_fire,forest_region,2026-05-14 12:26:17.298300,2,171.03,401.69,4470.91,8.2,0.239,0.898,0.281,0.1473,127.74,51.69,15,0.525,80.49,0.769,367,456.03,moderate,high,1,1,0.92,10737,293,1
ALERT_000306,FIRE_NODE_0119,USER_NODE_08768,kitchen_fire,residential_building,2026-05-14 12:26:20.298300,6,99.7,539.96,1522.64,68.48,0.649,0.935,0.323,0.5093,617.37,41.81,7,0.967,63.61,0.738,721,404.67,critical,urgent,1,1,0.911,645,428,2
ALERT_000307,FIRE_NODE_0204,USER_NODE_08117,electrical_fire,forest_region,2026-05-14 12:26:23.298300,2,145.64,311.64,2819.61,25.29,0.433,0.649,0.721,0.1548,336.15,16.88,1,0.239,87.0,0.964,1223,225.29,moderate,high,1,1,0.918,9355,308,1
ALERT_000308,FIRE_NODE_0055,USER_NODE_05490,forest_fire,parking_area,2026-05-14 12:26:26.298300,18,201.97,1027.66,1404.38,67.16,0.383,0.346,0.106,0.3186,105.03,15.66,9,0.351,88.53,0.954,2024,184.97,critical,urgent,1,1,0.949,14619,480,2
ALERT_000309,FIRE_NODE_0069,USER_NODE_08262,building_fire,forest_region,2026-05-14 12:26:29.298300,7,195.02,936.41,1245.46,49.87,0.946,0.686,0.348,0.3279,523.67,31.12,13,0.164,58.72,0.933,462,517.54,critical,urgent,1,1,0.74,5467,83,2
ALERT_000310,FIRE_NODE_0375,USER_NODE_07519,kitchen_fire,forest_region,2026-05-14 12:26:32.298300,6,211.67,448.28,3514.18,53.87,0.814,0.946,0.332,0.5587,122.72,42.6,1,0.755,80.66,0.773,1381,524.46,critical,urgent,1,1,0.749,13005,151,2
ALERT_000311,FIRE_NODE_0291,USER_NODE_03165,electrical_fire,metro_station,2026-05-14 12:26:35.298300,14,54.39,883.56,2692.09,60.19,0.39,0.177,0.803,0.359,167.57,43.5,9,0.536,76.26,0.834,1344,498.08,critical,urgent,1,1,0.941,1471,205,2
ALERT_000312,FIRE_NODE_0343,USER_NODE_01563,electrical_fire,industrial_area,2026-05-14 12:26:38.298300,16,169.14,198.05,4290.96,48.62,0.7,0.369,0.841,0.4729,107.82,25.06,6,0.892,42.83,0.979,1017,409.1,critical,urgent,1,1,0.883,161,133,2
ALERT_000313,FIRE_NODE_0197,USER_NODE_03859,building_fire,forest_region,2026-05-14 12:26:41.298300,11,92.35,358.65,4745.06,24.39,0.778,0.399,0.175,0.0119,444.52,58.57,5,0.401,61.43,0.8,2386,314.72,low,medium,0,1,0.828,11893,293,0
ALERT_000314,FIRE_NODE_0006,USER_NODE_04286,kitchen_fire,shopping_mall,2026-05-14 12:26:44.298300,8,198.99,646.18,2834.13,13.99,0.983,0.257,0.116,0.4327,484.39,25.49,1,0.451,87.1,0.757,2736,493.05,critical,urgent,1,1,0.888,1986,238,2
ALERT_000315,FIRE_NODE_0158,USER_NODE_02617,building_fire,forest_region,2026-05-14 12:26:47.298300,4,118.32,592.99,1729.25,53.89,0.518,0.328,0.586,0.6472,359.5,55.32,11,0.378,43.28,0.759,1209,254.12,critical,urgent,1,1,0.764,6071,314,2
ALERT_000316,FIRE_NODE_0114,USER_NODE_03591,electrical_fire,parking_area,2026-05-14 12:26:50.298300,5,45.04,1104.8,4313.07,53.25,0.176,0.129,0.111,0.472,744.47,26.4,8,0.163,70.74,0.801,2482,228.02,critical,urgent,1,1,0.88,6171,212,2
ALERT_000317,FIRE_NODE_0360,USER_NODE_08999,building_fire,warehouse_zone,2026-05-14 12:26:53.298300,8,170.78,203.88,756.6,69.63,0.24,0.063,0.221,0.0301,325.61,48.34,11,0.374,66.65,0.896,2441,307.79,low,medium,1,1,0.95,14355,403,0
ALERT_000318,FIRE_NODE_0042,USER_NODE_08610,building_fire,shopping_mall,2026-05-14 12:26:56.298300,3,196.56,91.1,4023.4,34.95,0.989,0.488,0.938,0.4917,213.91,32.77,15,0.993,91.45,0.728,2311,425.29,critical,urgent,1,0,0.8,1888,31,2
ALERT_000319,FIRE_NODE_0425,USER_NODE_08973,industrial_fire,warehouse_zone,2026-05-14 12:26:59.298300,19,46.22,531.9,1632.92,58.23,0.344,0.829,0.051,0.2035,208.11,14.78,9,0.115,51.23,0.861,614,178.36,moderate,high,1,1,0.821,2745,167,1
ALERT_000320,FIRE_NODE_0438,USER_NODE_08526,building_fire,commercial_complex,2026-05-14 12:27:02.298300,7,110.95,1061.01,4583.32,37.04,0.337,0.116,0.908,0.0438,252.17,18.59,12,0.354,49.86,0.927,2389,77.89,low,medium,1,1,0.884,8058,46,0
ALERT_000321,FIRE_NODE_0461,USER_NODE_08362,building_fire,residential_building,2026-05-14 12:27:05.298300,15,66.67,159.0,4601.49,17.36,0.823,0.549,0.12,0.6213,212.63,51.72,3,0.21,91.24,0.704,2103,309.51,critical,urgent,1,1,0.923,6856,233,2
ALERT_000322,FIRE_NODE_0289,USER_NODE_00946,industrial_fire,parking_area,2026-05-14 12:27:08.298300,10,208.59,1098.31,4206.35,62.73,0.207,0.291,0.31,0.2482,326.79,33.13,12,0.202,81.47,0.749,90,189.63,moderate,high,1,1,0.846,6537,130,1
ALERT_000323,FIRE_NODE_0419,USER_NODE_00050,kitchen_fire,warehouse_zone,2026-05-14 12:27:11.298300,19,184.38,908.21,3440.35,15.13,0.552,0.097,0.39,0.2717,51.05,17.17,2,0.958,97.22,0.802,186,30.64,critical,urgent,1,1,0.752,6991,176,2
ALERT_000324,FIRE_NODE_0359,USER_NODE_01045,industrial_fire,residential_building,2026-05-14 12:27:14.298300,3,113.64,1141.51,1221.28,54.63,0.118,0.981,0.393,0.505,287.22,38.03,15,0.232,48.76,0.972,1934,551.0,critical,urgent,1,1,0.957,569,146,2
ALERT_000325,FIRE_NODE_0210,USER_NODE_02949,warehouse_fire,industrial_area,2026-05-14 12:27:17.298300,14,154.45,985.26,903.76,26.76,0.321,0.639,0.37,0.1008,485.24,49.05,6,0.413,47.94,0.757,1567,146.3,moderate,high,1,1,0.787,7398,445,1
ALERT_000326,FIRE_NODE_0470,USER_NODE_06185,building_fire,commercial_complex,2026-05-14 12:27:20.298300,18,157.49,753.06,3662.75,28.56,0.826,0.212,0.472,0.5216,160.52,7.48,3,0.889,60.58,0.898,2677,20.08,critical,urgent,1,1,0.9,14144,178,2
ALERT_000327,FIRE_NODE_0061,USER_NODE_02925,industrial_fire,metro_station,2026-05-14 12:27:23.298300,17,100.32,142.43,3283.18,20.65,0.393,0.09,0.182,0.1972,90.01,54.74,3,0.056,69.03,0.736,2982,188.07,moderate,high,1,1,0.969,3698,427,1
ALERT_000328,FIRE_NODE_0002,USER_NODE_00373,forest_fire,parking_area,2026-05-14 12:27:26.298300,18,73.3,1161.73,1505.5,53.2,0.551,0.886,0.549,0.3498,172.46,10.81,7,0.921,59.67,0.808,2179,457.1,critical,urgent,1,1,0.798,6264,421,2
ALERT_000329,FIRE_NODE_0118,USER_NODE_04056,building_fire,shopping_mall,2026-05-14 12:27:29.298300,5,211.61,906.48,3228.69,62.26,0.059,0.264,0.469,0.1514,600.25,55.23,5,0.453,60.53,0.979,773,269.69,moderate,high,1,1,0.842,14389,371,1
ALERT_000330,FIRE_NODE_0392,USER_NODE_01849,urban_fire,metro_station,2026-05-14 12:27:32.298300,20,106.54,1098.69,3103.4,54.54,0.814,0.348,0.44,0.5523,303.34,47.84,13,0.944,77.39,0.915,65,484.03,critical,urgent,1,1,0.945,3993,105,2
ALERT_000331,FIRE_NODE_0035,USER_NODE_01654,industrial_fire,residential_building,2026-05-14 12:27:35.298300,15,114.13,137.42,2368.26,48.79,0.456,0.751,0.371,0.4144,165.41,45.21,10,0.568,52.24,0.785,2753,450.42,critical,urgent,1,1,0.84,11572,446,2
ALERT_000332,FIRE_NODE_0025,USER_NODE_04010,kitchen_fire,residential_building,2026-05-14 12:27:38.298300,13,82.81,1163.34,3746.55,67.21,0.433,0.48,0.858,0.3437,571.68,15.88,8,0.474,47.41,0.76,960,5.56,critical,urgent,1,1,0.711,8893,111,2
ALERT_000333,FIRE_NODE_0387,USER_NODE_00925,electrical_fire,forest_region,2026-05-14 12:27:41.298300,8,216.02,351.44,3518.57,59.54,0.555,0.162,0.705,0.3922,590.38,46.42,14,0.977,74.41,0.799,2997,390.84,critical,urgent,1,1,0.72,9488,163,2
ALERT_000334,FIRE_NODE_0296,USER_NODE_09797,warehouse_fire,shopping_mall,2026-05-14 12:27:44.298300,8,202.04,213.71,2042.51,58.02,0.601,0.4,0.476,0.5562,285.2,52.31,5,0.134,86.61,0.946,587,113.18,critical,urgent,1,1,0.825,10866,266,2
ALERT_000335,FIRE_NODE_0114,USER_NODE_06776,forest_fire,forest_region,2026-05-14 12:27:47.298300,2,73.96,871.4,2955.53,46.3,0.205,0.22,0.087,0.2127,456.6,51.62,9,0.684,66.12,0.976,2424,432.95,moderate,high,1,1,0.97,14463,376,1
ALERT_000336,FIRE_NODE_0467,USER_NODE_02870,kitchen_fire,metro_station,2026-05-14 12:27:50.298300,18,137.33,369.97,832.44,52.2,0.13,0.31,0.529,0.369,488.45,10.81,8,0.411,77.03,0.981,193,437.94,critical,urgent,1,1,0.968,5692,482,2
ALERT_000337,FIRE_NODE_0330,USER_NODE_06245,warehouse_fire,shopping_mall,2026-05-14 12:27:53.298300,14,178.39,742.72,1444.9,48.33,0.627,0.606,0.491,0.346,280.87,31.64,7,0.238,88.31,0.754,612,55.55,critical,urgent,1,1,0.827,4963,192,2
ALERT_000338,FIRE_NODE_0095,USER_NODE_08814,building_fire,warehouse_zone,2026-05-14 12:27:56.298300,8,160.2,570.24,1817.72,41.28,0.354,0.934,0.88,0.329,275.75,44.49,5,0.085,68.49,0.798,2899,552.72,critical,urgent,1,1,0.703,2415,412,2
ALERT_000339,FIRE_NODE_0238,USER_NODE_00945,industrial_fire,metro_station,2026-05-14 12:27:59.298300,14,141.74,909.54,2734.08,10.55,0.973,0.523,0.603,0.1576,397.13,26.32,9,0.121,46.37,0.943,2171,147.69,moderate,high,1,1,0.757,2246,198,1
ALERT_000340,FIRE_NODE_0125,USER_NODE_04178,electrical_fire,shopping_mall,2026-05-14 12:28:02.298300,3,133.36,941.0,872.56,42.49,0.128,0.046,0.097,0.543,112.02,3.66,15,0.466,90.64,0.776,1843,255.92,critical,urgent,1,1,0.712,13929,189,2
ALERT_000341,FIRE_NODE_0048,USER_NODE_08776,kitchen_fire,warehouse_zone,2026-05-14 12:28:05.298300,2,123.59,726.93,3111.99,26.61,0.322,0.116,0.38,0.0692,617.94,58.01,5,0.972,91.9,0.874,1545,422.02,low,medium,1,1,0.783,11087,309,0
ALERT_000342,FIRE_NODE_0309,USER_NODE_00648,warehouse_fire,commercial_complex,2026-05-14 12:28:08.298300,7,155.38,590.33,2720.88,54.26,0.289,0.325,0.882,0.0413,398.79,54.86,13,0.63,72.78,0.772,2407,209.25,low,medium,1,1,0.947,11917,343,0
ALERT_000343,FIRE_NODE_0287,USER_NODE_03556,building_fire,warehouse_zone,2026-05-14 12:28:11.298300,11,142.86,656.51,1038.15,6.04,0.964,0.383,0.593,0.0564,552.83,56.02,5,0.597,47.57,0.869,63,460.98,low,medium,1,1,0.818,3520,479,0
ALERT_000344,FIRE_NODE_0098,USER_NODE_01923,kitchen_fire,parking_area,2026-05-14 12:28:14.298300,8,198.97,806.52,4556.7,45.53,0.14,0.317,0.232,0.5912,613.11,40.91,12,0.336,51.04,0.919,2476,287.12,critical,urgent,1,1,0.765,11580,104,2
ALERT_000345,FIRE_NODE_0204,USER_NODE_03922,industrial_fire,shopping_mall,2026-05-14 12:28:17.298300,10,152.91,125.17,2035.15,35.46,0.156,0.985,0.238,0.0891,178.76,46.37,7,0.454,73.92,0.706,1910,25.49,moderate,high,1,1,0.829,8793,332,1
ALERT_000346,FIRE_NODE_0184,USER_NODE_05054,forest_fire,shopping_mall,2026-05-14 12:28:20.298300,17,187.91,1071.47,981.51,39.99,0.914,0.394,0.797,0.0912,749.61,45.33,15,0.944,80.6,0.805,2037,563.22,moderate,high,1,1,0.78,7685,50,1
ALERT_000347,FIRE_NODE_0412,USER_NODE_07693,warehouse_fire,shopping_mall,2026-05-14 12:28:23.298300,7,103.13,864.91,3967.39,65.41,0.213,0.8,0.715,0.0461,322.03,17.68,6,0.339,98.98,0.886,1282,432.02,low,medium,1,1,0.983,6831,23,0
ALERT_000348,FIRE_NODE_0289,USER_NODE_03626,kitchen_fire,industrial_area,2026-05-14 12:28:26.298300,1,111.01,978.06,2511.94,61.52,0.189,0.948,0.247,0.2154,609.83,24.23,5,0.628,66.67,0.915,2267,140.86,moderate,high,1,1,0.717,9618,296,1
ALERT_000349,FIRE_NODE_0369,USER_NODE_06842,forest_fire,industrial_area,2026-05-14 12:28:29.298300,7,97.49,611.23,1339.29,28.06,0.406,0.067,0.575,0.5754,138.36,36.27,6,0.682,65.16,0.903,943,249.39,critical,urgent,1,1,0.846,6273,291,2
ALERT_000350,FIRE_NODE_0427,USER_NODE_04027,building_fire,shopping_mall,2026-05-14 12:28:32.298300,9,46.29,854.73,3509.91,7.5,0.375,0.979,0.429,0.3288,729.75,43.32,13,0.603,87.87,0.951,2002,276.85,critical,urgent,1,1,0.838,11904,328,2
ALERT_000351,FIRE_NODE_0379,USER_NODE_08038,building_fire,industrial_area,2026-05-14 12:28:35.298300,12,112.56,1162.71,3667.53,10.41,0.864,0.486,0.112,0.3596,345.39,52.79,3,0.244,89.59,0.862,574,37.49,critical,urgent,1,1,0.982,11851,279,2
